food_name_clean,Descriptionen,Foodgroupen,NOVA_step1,Match_reason
apple skin eaten,"Apple, skin eaten",Fresh fruit,,
chocolate squares/pillows breakfast cereal supermarket brands,"Chocolate squares/pillows, breakfast cereal, supermarket brands","Other breakfast cereals: muesli, bran flakes",4.0,dessert/snack item
strawberries,Strawberries,Fresh fruit,1.0,raw
banana,Banana,Fresh fruit,,
salami,Salami,Sausages,,
pasta with a vegetable based sauce,Pasta with a vegetable based sauce,Non meat based pasta dishes,,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
cheddar cheese,Cheddar cheese,"Other cheese: edam, cheddar",,
nestle shreddies,Nestle Shreddies,"Other breakfast cereals: muesli, bran flakes",,
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy
raspberries,Raspberries,Fresh fruit,,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
belvita soft bakes breakfast biscuits,Belvita soft bakes (breakfast biscuits),"Breakfast alternatives: nutrigrain bar, pop tart, breakfast cereal bars",4.0,snack item
white rice eg longgrain including easycook,"White rice, e.g. long-grain (including easy-cook)",Rice,,
oats uncooked,Oats (uncooked),"Other breakfast cereals: muesli, bran flakes",,
chicken curry home made,Chicken curry home made,Chicken/Turkey dishes,3.0,homemade item
apple/pear juice concentrate undiluted unsweetened,"Apple/pear juice concentrate (undiluted), unsweetened",Fruit juices e.g. fresh orange juice,,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
carrots,Carrots,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,
toast white bread,"Toast, white bread",White bread/rolls,,
fruit in jelly readytoeat eg dole hartleys,"Fruit in jelly, ready-to-eat (e.g. Dole, Hartleys)","Non milk based sweet puddings: (excluding yoghurts and canned/stewed fruits) e.g. meringue, cheesecake, gateaux, jelly, fruit pies (pastry), crumble",,
tangerines / mandarins / clementines/ satsumas,Tangerines / mandarins / clementines/ satsumas,Fresh fruit,,
passata strained tomatoes,Passata (strained tomatoes),"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,
