food_name_clean,Descriptionen,Foodgroupen,NOVA_step1,Match_reason,NOVA_step2,TFIDF_score,TFIDF_match_name,NOVA_final,Match_source
fruit gums / jelly shapes eg winegums,Fruit gums / jelly shapes (e.g. winegums),"Sweets (non-chocolate): toffee, boiled sweets, gums/jellies, mints, liquorice, raw jelly, popcorn",,,,0.7441026951693556,,,Unmatched
mr whippy style ice cream,Mr whippy style ice cream,"Ice cream, ice cream desserts and lollies",,,4,0.8551542854359733,ice cream mr whippy type soft,4,TF-IDF
ice cream topping sauce eg strawberry,Ice cream topping sauce (e.g. strawberry),"Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",1.0,raw,,,,1.0,Keyword
coated chicken pieces fried,"Coated chicken pieces, fried",Chicken in batter,,,,0.7984244671314218,,,Unmatched
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,1.0,Keyword
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,1.0,Keyword
cod/haddock in batter from takeaway,"Cod/haddock in batter, from takeaway",Fish in batter: all fried fish in batter,4.0,fast food,,,,4.0,Keyword
semi skimmed milk,Semi skimmed milk,Semi-skimmed milks: includes longlife semi-skimmed,,,,0.8440107678550299,,,Unmatched
weetabix minis chocolate,"Weetabix minis, chocolate","Other breakfast cereals: muesli, bran flakes",4.0,snack item,,,,4.0,Keyword
fruit shoot,Fruit shoot,"Fruit drink, ready to drink (sweetened)e.g. sunny delight, umbongo, five alive",,,,0.6457437867547431,,,Unmatched
sweet and salty popcorn,Sweet and salty popcorn,"Sweets (non-chocolate): toffee, boiled sweets, gums/jellies, mints, liquorice, raw jelly, popcorn",,,,0.762859249048834,,,Unmatched
apple skin eaten,"Apple, skin eaten",Fresh fruit,,,,0.5317520969272483,,,Unmatched
orange juice 100% fruit eg tropicana,"Orange juice, 100% fruit (e.g. Tropicana)",Fruit juices e.g. fresh orange juice,,,,0.5742520385666388,,,Unmatched
mushy peas,Mushy peas,"Peas: frozen, fresh, canned, dried & split",,,3,0.9405933271611122,peas mushy canned,3,TF-IDF
tomato ketchup,Tomato ketchup,Ketchup,4.0,processed ketchup,,,,4.0,Keyword
tomato ketchup,Tomato ketchup,Ketchup,4.0,processed ketchup,,,,4.0,Keyword
takeaway chips fries eg burger king kfc,"Takeaway chips, fries (e.g. Burger King, KFC)",Fried chips,4.0,fast food,,,,4.0,Keyword
takeaway chips chip shop style,"Takeaway chips, chip shop style",Fried chips,4.0,fast food,,,,4.0,Keyword
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,1.0,Keyword
roast/grilled chicken leg skin eaten,Roast/grilled chicken leg  (skin eaten),Chicken/Turkey dishes,,,,0.5750641808354038,,,Unmatched
yoplait frubes/wildlife choobs,Yoplait Frubes/Wildlife Choobs,Low fat yoghurt/fromage frais,,,,0.7627054654831756,,,Unmatched
spaghetti/tagliatelle pasta white or tricolore,"Spaghetti/tagliatelle (pasta), white or tricolore",Pasta,,,,0.635640935670514,,,Unmatched
white basmati rice including easycook,White basmati rice (including easy-cook),Rice,,,1,0.9023076139747565,basmati easycook white rice cooked,1,TF-IDF
meatballs in tomato sauce,Meatballs in tomato sauce,Pork and pork dishes,,,3,0.9304223296944557,chicken meatballs in tomato sauce,3,TF-IDF
pain au chocolat/chocolate croissant,Pain au chocolat/chocolate croissant,"Cakes: sweet buns, sweet pastries, fruit scones and custard tart (sweet but not savoury based items)",,,4,0.9718705785327632,pain au chocolate chocolate croissant,4,TF-IDF
iced biscuit eg iced gems,Iced biscuit (e.g. iced gems),Sweet biscuits: excludes full coated biscuits,4.0,snack item,,,,4.0,Keyword
ham sandwich with wholemeal/oatmeal bread,Ham sandwich with wholemeal/oatmeal bread,"Cereal based savouries with vegetable or meat additions: bhajis, samosas, pakora, prawn toasts, spring rolls, meat filled spring roll",,,,0.6129735580878538,,,Unmatched
cucumber,Cucumber,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.8439401505448992,,,Unmatched
